age,occupation,marital_status,education_level,credit_default,housing_loan,personal_loan,contact_method,last_contact_month,last_contact_day_of_week,last_contact_duration,campaign_contacts,days_since_previous_contact,previous_contacts,previous_campaign_outcome,employment_variation_rate,consumer_price_index,consumer_confidence_index,euribor_3_month_rate,number_employed,subscription_status
42,Management,Married,University Degree,No,No,No,Telephone,5,Monday,426,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
37,Technician,Single,Professional Course,No,No,No,Telephone,5,Monday,197,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
44,Blue-collar,Married,Basic (6 Years),No,No,No,Telephone,5,Monday,257,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
49,Blue-collar,Married,Basic (4 Years),No,No,No,Telephone,5,Monday,55,3,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
52,Admin,Divorced,University Degree,No,No,No,Telephone,5,Monday,197,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
52,Admin,Divorced,University Degree,No,No,No,Telephone,5,Monday,190,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
34,Housemaid,Married,Basic (6 Years),No,Yes,No,Telephone,5,Monday,300,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
35,Admin,Married,High School,No,Yes,No,Telephone,5,Monday,123,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
35,Services,Divorced,High School,No,Yes,No,Telephone,5,Monday,194,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
37,Management,Married,University Degree,No,No,No,Telephone,5,Monday,337,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
36,Blue-collar,Married,High School,No,No,No,Telephone,5,Monday,286,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
52,Admin,Divorced,University Degree,No,No,No,Telephone,5,Monday,247,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
49,Blue-collar,Divorced,High School,No,No,No,Telephone,5,Monday,439,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
41,Services,Married,High School,No,No,No,Telephone,5,Monday,139,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
45,Technician,Married,High School,No,Yes,No,Telephone,5,Monday,79,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
32,Admin,Married,University Degree,No,Yes,Yes,Telephone,5,Monday,175,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
42,Admin,Married,University Degree,No,No,Yes,Telephone,5,Monday,262,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
50,Admin,Married,Basic (6 Years),No,No,No,Telephone,5,Monday,61,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
31,Technician,Divorced,Professional Course,No,Yes,Yes,Telephone,5,Monday,78,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
56,Retired,Married,Basic (4 Years),No,Yes,No,Telephone,5,Monday,102,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
37,Blue-collar,Married,Basic (6 Years),No,Yes,Yes,Telephone,5,Monday,143,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
37,Blue-collar,Married,Basic (6 Years),No,Yes,No,Telephone,5,Monday,345,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
52,Management,Married,University Degree,No,No,No,Telephone,5,Monday,185,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
39,Management,Divorced,University Degree,No,No,No,Telephone,5,Monday,207,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
34,Services,Married,High School,No,Yes,No,Telephone,5,Monday,125,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
43,Unemployed,Single,University Degree,No,Yes,No,Telephone,5,Monday,240,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
39,Management,Married,University Degree,No,Yes,No,Telephone,5,Monday,193,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
53,Blue-collar,Married,Basic (4 Years),No,Yes,No,Telephone,5,Monday,136,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
35,Admin,Single,High School,No,Yes,No,Telephone,5,Monday,338,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
51,Blue-collar,Married,Basic (4 Years),No,Yes,No,Telephone,5,Monday,87,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
36,Blue-collar,Married,Basic (9 Years),No,Yes,Yes,Telephone,5,Monday,98,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
43,Technician,Single,Professional Course,No,Yes,No,Telephone,5,Monday,186,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
59,Services,Married,High School,No,No,No,Telephone,5,Monday,579,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
24,Management,Single,University Degree,No,Yes,No,Telephone,5,Monday,165,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
37,Entrepreneur,Married,Basic (6 Years),No,No,No,Telephone,5,Monday,85,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
38,Services,Married,High School,No,Yes,Yes,Telephone,5,Monday,506,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
54,Management,Divorced,University Degree,No,Yes,No,Telephone,5,Monday,843,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
45,Technician,Married,University Degree,No,Yes,Yes,Telephone,5,Monday,292,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
43,Services,Married,High School,No,No,No,Telephone,5,Monday,93,3,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
46,Management,Married,Basic (9 Years),No,No,No,Telephone,5,Monday,128,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
44,Services,Married,High School,No,Yes,Yes,Telephone,5,Monday,107,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
51,Admin,Single,Basic (6 Years),No,No,No,Telephone,5,Monday,303,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
28,Services,Married,High School,No,Yes,No,Telephone,5,Monday,81,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
37,Blue-collar,Married,Basic (9 Years),No,No,No,Telephone,5,Monday,270,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
34,Technician,Married,High School,No,No,No,Telephone,5,Monday,228,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
42,Blue-collar,Married,Basic (9 Years),No,Yes,Yes,Telephone,5,Monday,673,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,Yes
36,Admin,Married,University Degree,No,Yes,No,Telephone,5,Monday,233,3,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
57,Management,Married,University Degree,No,No,No,Telephone,5,Monday,461,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
34,Admin,Married,University Degree,No,Yes,No,Telephone,5,Monday,138,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
41,Technician,Married,Professional Course,No,No,No,Telephone,5,Monday,412,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
38,Blue-collar,Single,Basic (9 Years),No,Yes,No,Telephone,5,Monday,179,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
45,Management,Divorced,University Degree,No,No,No,Telephone,5,Monday,19,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
42,Technician,Married,University Degree,No,No,No,Telephone,5,Monday,228,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
48,Blue-collar,Married,Basic (4 Years),No,Yes,No,Telephone,5,Monday,717,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
43,Blue-collar,Married,Basic (6 Years),No,Yes,No,Telephone,5,Monday,1077,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
33,Services,Married,High School,No,No,No,Telephone,5,Monday,146,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
32,Services,Single,Basic (6 Years),No,No,No,Telephone,5,Monday,167,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
39,Blue-collar,Married,High School,No,Yes,No,Telephone,5,Monday,356,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
44,Blue-collar,Married,Basic (9 Years),No,Yes,No,Telephone,5,Monday,172,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
35,Unemployed,Married,Professional Course,No,No,No,Telephone,5,Monday,67,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
36,Services,Single,Basic (4 Years),No,No,No,Telephone,5,Monday,291,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
36,Student,Single,Basic (9 Years),No,Yes,No,Telephone,5,Monday,256,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
55,Housemaid,Divorced,University Degree,No,No,No,Telephone,5,Monday,286,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
59,Admin,Married,University Degree,No,No,No,Telephone,5,Monday,477,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
40,Services,Married,High School,No,No,No,Telephone,5,Monday,322,3,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
35,Admin,Married,High School,No,Yes,No,Telephone,5,Monday,216,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
40,Technician,Married,Basic (9 Years),No,No,No,Telephone,5,Monday,168,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
58,Retired,Married,University Degree,No,No,No,Telephone,5,Monday,132,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
42,Technician,Married,University Degree,No,No,No,Telephone,5,Monday,64,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
35,Admin,Single,University Degree,No,No,No,Telephone,5,Monday,209,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
45,Blue-collar,Married,Basic (4 Years),No,Yes,Yes,Telephone,5,Monday,177,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
39,Admin,Married,Professional Course,No,Yes,No,Telephone,5,Monday,580,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
50,Services,Divorced,Professional Course,No,Yes,No,Telephone,5,Monday,165,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
44,Admin,Married,Professional Course,No,Yes,No,Telephone,5,Monday,300,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
56,Blue-collar,Married,Basic (4 Years),No,No,No,Telephone,5,Monday,136,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
48,Admin,Married,High School,No,No,No,Telephone,5,Monday,125,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
57,Retired,Married,High School,No,No,No,Telephone,5,Monday,238,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
36,Technician,Single,Professional Course,No,No,No,Telephone,5,Monday,124,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
34,Management,Married,University Degree,No,Yes,No,Telephone,5,Monday,18,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
34,Services,Single,Basic (9 Years),No,No,No,Telephone,5,Monday,730,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
32,Technician,Single,Professional Course,No,No,No,Telephone,5,Monday,79,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
36,Technician,Single,High School,No,Yes,No,Telephone,5,Monday,142,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
36,Blue-collar,Single,High School,No,No,Yes,Telephone,5,Monday,389,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
33,Services,Single,High School,No,No,No,Telephone,5,Monday,702,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
40,Technician,Divorced,Professional Course,No,No,No,Telephone,5,Monday,151,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
41,Blue-collar,Married,Basic (4 Years),No,Yes,No,Telephone,5,Monday,211,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
51,Services,Married,Basic (6 Years),No,Yes,No,Telephone,5,Monday,117,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
36,Technician,Married,Professional Course,No,Yes,No,Telephone,5,Monday,232,3,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
53,Services,Married,High School,No,Yes,Yes,Telephone,5,Monday,370,3,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
45,Management,Married,Basic (9 Years),No,No,Yes,Telephone,5,Monday,46,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
33,Admin,Married,High School,No,No,Yes,Telephone,5,Monday,50,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
33,Admin,Married,High School,No,No,Yes,Telephone,5,Monday,181,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
42,Technician,Married,High School,No,No,No,Telephone,5,Monday,361,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
43,Admin,Divorced,Basic (9 Years),No,No,No,Telephone,5,Monday,73,3,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
42,Admin,Married,University Degree,No,No,No,Telephone,5,Monday,67,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
27,Blue-collar,Single,Basic (6 Years),No,No,No,Telephone,5,Monday,350,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
34,Self-employed,Single,University Degree,No,Yes,No,Telephone,5,Monday,150,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
54,Management,Divorced,University Degree,No,No,No,Telephone,5,Monday,611,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
47,Management,Divorced,University Degree,No,No,No,Telephone,5,Monday,89,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
32,Admin,Single,High School,No,No,No,Telephone,5,Monday,611,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
34,Services,Married,High School,No,No,No,Telephone,5,Monday,962,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
47,Technician,Single,Basic (9 Years),No,No,No,Telephone,5,Monday,10,4,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
51,Retired,Married,Professional Course,No,No,No,Telephone,5,Monday,118,3,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
47,Blue-collar,Married,Basic (6 Years),No,No,No,Telephone,5,Monday,92,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
56,Technician,Married,Basic (4 Years),No,Yes,No,Telephone,5,Monday,143,3,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
53,Admin,Married,Basic (9 Years),No,No,No,Telephone,5,Monday,189,3,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
36,Blue-collar,Married,Basic (9 Years),No,Yes,No,Telephone,5,Monday,75,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
42,Blue-collar,Divorced,Basic (9 Years),No,Yes,No,Telephone,5,Monday,189,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
44,Blue-collar,Divorced,Basic (6 Years),No,No,No,Telephone,5,Monday,55,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
39,Housemaid,Married,Basic (9 Years),No,Yes,No,Telephone,5,Monday,935,3,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,Yes
37,Admin,Single,High School,No,Yes,Yes,Telephone,5,Monday,56,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
36,Services,Married,High School,No,No,No,Telephone,5,Monday,225,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
42,Management,Divorced,University Degree,No,Yes,No,Telephone,5,Monday,125,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
31,Admin,Married,High School,No,Yes,Yes,Telephone,5,Monday,286,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
45,Blue-collar,Married,Basic (4 Years),No,Yes,No,Telephone,5,Monday,164,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
37,Technician,Single,Professional Course,No,Yes,No,Telephone,5,Monday,98,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
47,Self-employed,Married,Professional Course,No,No,No,Telephone,5,Monday,446,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
49,Blue-collar,Divorced,High School,No,No,Yes,Telephone,5,Monday,742,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
36,Admin,Married,University Degree,No,Yes,No,Telephone,5,Monday,120,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
35,Services,Divorced,High School,No,No,No,Telephone,5,Monday,122,3,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
42,Admin,Married,High School,No,Yes,No,Telephone,5,Monday,248,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
57,Housemaid,Divorced,Basic (4 Years),No,Yes,Yes,Telephone,5,Monday,205,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
42,Admin,Married,University Degree,No,Yes,No,Telephone,5,Monday,261,3,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
41,Blue-collar,Married,Basic (4 Years),No,Yes,No,Telephone,5,Monday,83,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
54,Management,Divorced,University Degree,No,Yes,No,Telephone,5,Monday,106,3,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
27,Admin,Single,University Degree,No,No,No,Telephone,5,Monday,106,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
36,Admin,Married,High School,No,No,No,Telephone,5,Monday,108,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
33,Admin,Divorced,High School,No,No,No,Telephone,5,Monday,364,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
56,Retired,Married,Basic (6 Years),No,No,No,Telephone,5,Monday,136,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
42,Blue-collar,Married,Basic (9 Years),No,No,No,Telephone,5,Monday,173,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
43,Services,Married,High School,No,Yes,No,Telephone,5,Monday,241,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
54,Management,Single,Basic (9 Years),No,Yes,No,Telephone,5,Monday,224,3,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
53,Admin,Single,Basic (6 Years),No,Yes,Yes,Telephone,5,Monday,148,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
54,Technician,Married,Professional Course,No,Yes,Yes,Telephone,5,Monday,196,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
40,Housemaid,Single,Professional Course,No,No,No,Telephone,5,Monday,111,4,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
26,Admin,Single,University Degree,No,Yes,No,Telephone,5,Monday,231,3,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
33,Admin,Married,High School,No,No,No,Telephone,5,Monday,316,3,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
